"filename", "language", "YAML", "JSON", "C++", "Dart", "CMake", "Markdown", "HTML", "Swift", "XML", "Groovy", "Properties", "Java", "comment", "blank", "total"
"d:\Coding Projects\DOOID Files\dooid\lib\screens\authentication\pin.dart", "Dart", 0, 0, 0, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 217
"d:\Coding Projects\DOOID Files\dooid\lib\screens\authentication\register.dart", "Dart", 0, 0, 0, 258, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 265
"d:\Coding Projects\DOOID Files\dooid\lib\screens\onboarding.dart", "Dart", 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 149
"d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\home.dart", "Dart", 0, 0, 0, 873, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 920
"d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\offers.dart", "Dart", 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 69
"d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\profile.dart", "Dart", 0, 0, 0, 433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 455
"d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\qr\qrCode.dart", "Dart", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 57
"d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\qr\qrScan.dart", "Dart", 0, 0, 0, 136, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 150
"d:\Coding Projects\DOOID Files\dooid\lib\screens\primary\transactionsHistory.dart", "Dart", 0, 0, 0, 302, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 322
"d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\credit\credit.dart", "Dart", 0, 0, 0, 425, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 439
"d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\credit\creditSuccess.dart", "Dart", 0, 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 141
"d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\topup\topUp.dart", "Dart", 0, 0, 0, 330, 0, 0, 0, 0, 0, 0, 0, 0, 1, 17, 348
"d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\topup\topUpSuccess.dart", "Dart", 0, 0, 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 172
"d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\transfer\transfer.dart", "Dart", 0, 0, 0, 264, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 275
"d:\Coding Projects\DOOID Files\dooid\lib\screens\transactions\transfer\transferSuccess.dart", "Dart", 0, 0, 0, 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 159
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\logOut.dart", "Dart", 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 59
"d:\Coding Projects\DOOID Files\dooid\lib\widgets\etc\offerWidget.dart", "Dart", 0, 0, 0, 236, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 254
